"asistente","codigoAudiencia"
"Leonardo Enrique Soto Ferrada","ab0012077691"
"ALVARO RODRIGO ALEGRIA MATUS","ab0161786671"
"Marcela Esparza","ab0121622521"
"Doris Valdivia Monsalve","ab0161789621"
"Manuel Tulio Contreras Álvarez","ab0161790641"
"Fernando Duran Rodriguez","ab0191635971"
"Rubén Antonio Cárdenas Riquelme","ab0191635971"
"Monica Alvarez Perez","ab0191803621"
"Claudio Antonio Díaz Obando","ab0191803621"
"Jose Miguel Arellano Merino","ab0211688831"
"NELSON RODRIGO ORELLANA URZUA","ab0211688831"
"Palmenia del Pilar Gandolfo Morales","ab0221535381"
"Susana Caipa Avalos","ab0221535381"
"CECILIA GONZALEZ SAAVEDRA","ab0421792541"
"Leonel Graff Aguerrebere","ad00920921"
"Sergio Torres González","ad00921151"
"Claudio Muñoz Cáceres","ad00921121"
"Coronel Sr. Ricardo Contreras Faundez","ad00921351"
"Mauricio Antonio Quiroz Chamorro","ab0181505151"
"Marcela Monteros Herrera","ad00921171"
"Nelson Rodrigo Castro Utreras","ad00921841"
"Gabriela Varela Lefermann","ad00922621"
"Olaya Gahona Flores","ad00922621"
"Lorena Mora","ac0011801741"
"Cristian Gutierrez León","ad0103427031"
"Verónica Lagos Núñez","ad0103427071"
"Cristian Gutierrez León","ad0103427071"
"Alejandro Javier Carlos Maluenda","ad0131613891"
"ADOLFO ENRIQUE FIERRO CACERES","ab0841740471"
"Marco Antonio Paulsen Figueroa","ab0921504631"
"Fernando Jose Rodriguez Larraín","ad0061686971"
"Eduardo Barros Gonzalez","ah0011510581"
"Fuad Chahin Valenzuela.","ah0011778391"
"Verónica Lagos Núñez","ad0103427041"
"CHRISTIAN QUILODRAN MUÑOZ","ad0103427041"
"Verónica Lagos Núñez","ad0103427061"
"Cristian Gutierrez León","ad0103427061"
"CHRISTIAN QUILODRAN MUÑOZ","ad0103427061"
"Mauricio Miranda","ae0041854821"
"mauricio Andrades","ah0021712201"
"HERVE BOISIER","ah0041553321"
"Sandra Ivette Acuña Trincado","ah0081513081"
"Carlos Reyes Rubio","ah0131748211"
"Enrique Aceituno","ae0091610631"
"Alberto Moisés Olivares Arancibia","ah0081771871"
"Carlos Abarzúa Villegas","aj0101762291"
"Roxana Aravena Navarrete","aj0111679411"
"Juan Bernardo Leyton","aj0111721201"
"Oscar Marcelo Fernandez Vilos","aj0011634331"
"Felipe Avendaño","ah0081547611"
"Fernando Rodrigo Contreras Boisier","aj0011598181"
"Fuad Chahin Valenzuela.","aj0011701301"
"Christian Carlos Cárdenas Badilla","ai0041661901"
"Francisco Javier Chahuán Chahuán","ah0011565291"
"FREDI ESPINOZA","ah0041500391"
"GONZALO IGNACIO ROJAS RUIZ","ah0041500391"
"Jessica Pinilla Tapia","ah0041692461"
"Carlos Reyes Rubio","ah0131748031"
"VICTOR DANIEL MONTANARES SEPULVEDA","ah0121629831"
"Sebastian Amigo Aros","ak0011726871"
"ANNER ALEJANDRO MONROY FUENTES","al0011812731"
"Jorge Antonio Vásquez Hernández","al0031684651"
