"codigoEmpLobby","empresaLobby","codigoActivo","activo","tipoActivo","codigoAudiencia"
"708855006r","Universidad de Talca","edadc8d8cb89b3a6da363dbc905db9fb","Stella Moisan","Gestor","mu3004060451"
"708855006r","Universidad de Talca","edadc8d8cb89b3a6da363dbc905db9fb","Stella Moisan","Gestor","mu3004060461"
"882019004r","EMPRESA CONSTRUCTORA GUZMAN Y LARRAIN LTDA.","3c917695aad1378ef33fd1f496e53399","Heriberto Rothkegel Sanhueza","Gestor","ap0024092401"
"767566980r","Bacteria Free SpA","0b8bf5bdbc65aa04f1dcb1b3017dc5f2","Gerardo Guzman","Gestor","ao1094078841"
"ff7c88f6822a558ae1ac760794de6f17","S/I","4c8eced79d1ce28f98f3cdf0fb6fda3f","Rigoberto Alejandro Huala Canumán","Gestor","nr00268871"
"ff7c88f6822a558ae1ac760794de6f17","S/I","84b331b41ed07428da6840175dbce8bb","Juan Carlos Beltran Silva","Gestor","nr00270081"
"ff7c88f6822a558ae1ac760794de6f17","S/I","9695b4d5a3b65404a82f976e4c8a18ce","JUAN MUÑOZ AMIGO","Gestor","nr00266931"
"ff7c88f6822a558ae1ac760794de6f17","S/I","a26806dce7582b03501d36e35f6de3e9","SinInformacion SinInformacion","Gestor","nr00265241"
"ff7c88f6822a558ae1ac760794de6f17","S/I","a26806dce7582b03501d36e35f6de3e9","SinInformacion SinInformacion","Gestor","nr00267101"
"ff7c88f6822a558ae1ac760794de6f17","S/I","a26806dce7582b03501d36e35f6de3e9","SinInformacion SinInformacion","Gestor","nr00268521"
"ff7c88f6822a558ae1ac760794de6f17","S/I","cc1752312ca30329229769bb86f40b7f","JOSE ABELARDO MONTERO ROJAS","Gestor","nr00266281"
"ff7c88f6822a558ae1ac760794de6f17","S/I","03d36125728b4015c30ce810c5032895","FERNANDO MONCKEBERG  VERGARA","Gestor","nr00261891"
"ff7c88f6822a558ae1ac760794de6f17","S/I","05f09b3a1127e088c86bfd8b7ce1baad","MIGUEL ÁNGEL  MEZA SAAVEDRA","Gestor","nr00267821"
"ff7c88f6822a558ae1ac760794de6f17","S/I","11d7622ee81dc9efd33af8f1ac38eea5","MARIO ESTEBAN CHAMBLAS HERMOSILLA","Gestor","nr00271461"
"ff7c88f6822a558ae1ac760794de6f17","S/I","146670e06e1dff520dfe36233e0775ef","NICOL FURNIEL MONDACA","Gestor","nr00269431"
"ff7c88f6822a558ae1ac760794de6f17","S/I","15afb2e97036a4c42bd38556532acb3b","PABLO  ARTIGAS VERGARA","Gestor","nr00271481"
"ff7c88f6822a558ae1ac760794de6f17","S/I","17fe19324fb39fe57a1588679f1d4b68","KAREN AGUILERA BUSTAMANTE","Gestor","nr00267761"
"ff7c88f6822a558ae1ac760794de6f17","S/I","190ed666dc0ca3adfc1ce7d70dfd74b6","Aladino Vidal Muñoz","Gestor","nr00268831"
"ff7c88f6822a558ae1ac760794de6f17","S/I","1e246cba7c6a05ededcc64fac0a2fa46","MARCELO ABURTO CARDENAS","Gestor","nr00268721"
"ff7c88f6822a558ae1ac760794de6f17","S/I","2604d2f34077efa55bcee631e972717e","Patricio Gabriel Gálvez Cantillano","Gestor","nr00268981"
"ff7c88f6822a558ae1ac760794de6f17","S/I","2988a6d8b192031b3c7f463f608d9dcd","Arturo Rodríguez","Gestor","nr00271511"
"ff7c88f6822a558ae1ac760794de6f17","S/I","2abb51fb2f9c2c98ff0a9b57635f1449","Jessica Carrasco","Gestor","nr00267991"
"ff7c88f6822a558ae1ac760794de6f17","S/I","327c1774081113fd0e50c771e7f40bd1","JUAN OSCAR DAMM RIOS","Gestor","nr00269391"
"ff7c88f6822a558ae1ac760794de6f17","S/I","3438c3cd738f869891d4d2efd62ee61e","DANIELA MONDACA FRITIS","Gestor","nr00269731"
"ff7c88f6822a558ae1ac760794de6f17","S/I","3bd303cbe1e2b0d7b759c0f54a2047dd","Luis Andrés Barrientos Torres","Gestor","nr00269141"
"ff7c88f6822a558ae1ac760794de6f17","S/I","3f88727e62b3c366aa6f70468b278612","IVÁN  DONOSO HERNANDEZ","Gestor","nr00266871"
"ff7c88f6822a558ae1ac760794de6f17","S/I","4153bf7ecba9900c277631f191bcfcbb","RAÚL PAVEZ MORA","Gestor","nr00270791"
"ff7c88f6822a558ae1ac760794de6f17","S/I","49277ccfc9c084c33381de8a53c3253c","MARCEL MENDEZ BONNEMAISON","Gestor","nr00269891"
"ff7c88f6822a558ae1ac760794de6f17","S/I","4d0408c364a1ca4e92c88a844cb2a0cf","MARÍA IGNACIA ARANCIBIA CORREA","Gestor","nr00267061"
"ff7c88f6822a558ae1ac760794de6f17","S/I","4efe49b3fa6585973f827a28323ee129","FERNANDO UTASIO HUAIQUIL PAILLAL","Gestor","nr00270501"
"ff7c88f6822a558ae1ac760794de6f17","S/I","61892019c9ca2efaec057aa07d782a36","Francisco Torres Valderrama","Gestor","nr00271921"
"ff7c88f6822a558ae1ac760794de6f17","S/I","62e51c359b366d1f05f833c4b2e325be","MARCO ANTONIO  MALDONADO FLORES","Gestor","nr00269081"
"ff7c88f6822a558ae1ac760794de6f17","S/I","683306bbda9d033b1d9308d31c0fc6ad","EMMANUEL TEBES CACERES","Gestor","nr00269171"
"ff7c88f6822a558ae1ac760794de6f17","S/I","683306bbda9d033b1d9308d31c0fc6ad","EMMANUEL TEBES CACERES","Gestor","nr00270951"
